------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 31, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.77
Generation 32, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.62
Generation 33, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.95
Generation 34, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.98
Generation 35, Fitness: 5482.00, Best Genome:  .\w[^.]\w\w, Time Elapsed 19.62
Generation 36, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 19.64
Generation 37, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 20.02
Generation 38, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 19.95
Generation 39, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 20.52
Generation 40, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 19.10
Generation 41, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 20.43
Generation 42, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 20.75
Generation 43, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 21.06
Generation 44, Fitness: 5408.00, Best Genome:  .\w\w\w\w, Time Elapsed 21.81
Generation 45, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 22.13
Generation 46, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 22.11
Generation 47, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 22.91
Generation 48, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 22.17
Generation 49, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 21.99
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5877.00, Best Genome: \w\w[^\w], Time Elapsed 5.24
Generation 1, Fitness: 5744.00, Best Genome: .. \w\w, Time Elapsed 6.23
Generation 2, Fitness: 5744.00, Best Genome: .. \w\w, Time Elapsed 6.84
Generation 3, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 7.42
Generation 4, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 7.98
Generation 5, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 8.51
Generation 6, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 8.62
Generation 7, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 9.55
Generation 8, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 10.75
Generation 9, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 9.86
Generation 10, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 9.98
Generation 11, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 10.04
Generation 12, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 10.34
Generation 13, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 10.89
Generation 14, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 11.06
Generation 15, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 11.57
Generation 16, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 11.86
Generation 17, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 12.83
Generation 18, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 12.77
Generation 19, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 12.73
Generation 20, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 13.67
Generation 21, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 13.43
Generation 22, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 15.29
Generation 23, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 14.72
Generation 24, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 14.78
Generation 25, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 14.76
Generation 26, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 15.03
Generation 27, Fitness: 5415.00, Best Genome: \w\w[\w]\w., Time Elapsed 14.73
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 4 
 -------------------------
Generation 0, Fitness: 5748.00, Best Genome: \w[^9]\w[^e], Time Elapsed 2.98
Generation 1, Fitness: 5748.00, Best Genome: \w[^9]\w[^e], Time Elapsed 3.60
Generation 2, Fitness: 5704.00, Best Genome: \w.[^[](.r), Time Elapsed 4.68
Generation 3, Fitness: 5648.00, Best Genome: \w..\w[^e], Time Elapsed 5.60
Generation 4, Fitness: 5648.00, Best Genome: \w..\w[^e], Time Elapsed 6.46
Generation 5, Fitness: 5648.00, Best Genome: \w..\w[^e], Time Elapsed 7.80
Generation 6, Fitness: 5648.00, Best Genome: \w..\w[^e], Time Elapsed 8.60
Generation 7, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 9.44
Generation 8, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 9.73
Generation 9, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 10.10
Generation 10, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 11.46
Generation 11, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 12.01
Generation 12, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 12.71
Generation 13, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 12.80
Generation 14, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 13.89
Generation 15, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 13.71
Generation 16, Fitness: 5626.00, Best Genome: \w.[^[]\w\w, Time Elapsed 13.87
Generation 17, Fitness: 5613.00, Best Genome: \w\w\w.[ =], Time Elapsed 14.42
Generation 18, Fitness: 5599.00, Best Genome: \w\w[\w][\w], Time Elapsed 14.63
Generation 19, Fitness: 5550.00, Best Genome: \w.[^ L]\w\w, Time Elapsed 14.51
Generation 20, Fitness: 5550.00, Best Genome: \w.[^ L]\w\w, Time Elapsed 14.97
Generation 21, Fitness: 5550.00, Best Genome: \w.[^ L]\w\w, Time Elapsed 15.39
Generation 22, Fitness: 5550.00, Best Genome: \w.[^ L]\w\w, Time Elapsed 15.94
Generation 23, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 15.77
Generation 24, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 15.54
Generation 25, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 16.06
Generation 26, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 16.61
Generation 27, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 16.63
Generation 28, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 17.77
Generation 29, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 17.09
Generation 30, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 17.43
Generation 31, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 16.92
Generation 32, Fitness: 5541.00, Best Genome:  ...\w\w, Time Elapsed 18.21
------------------------- 
Mean Num Genes: 3 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 6345.00, Best Genome: i|0-9.ln, Time Elapsed 2.37
Generation 1, Fitness: 6001.00, Best Genome:  ..|A-Z0-9G.NJ.x0-9 A-Z, Time Elapsed 2.72
Generation 2, Fitness: 5989.00, Best Genome: [^(j)][O\w][^5?+], Time Elapsed 3.13
Generation 3, Fitness: 5989.00, Best Genome: [^(j)][O\w][^5?+], Time Elapsed 3.45
Generation 4, Fitness: 5908.00, Best Genome: i|\w.\wn, Time Elapsed 4.71
Generation 5, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 5.88
Generation 6, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 7.44
Generation 7, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 9.42
Generation 8, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 12.43
Generation 9, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 13.46
Generation 10, Fitness: 5614.00, Best Genome: \w[ ]\w\w(.), Time Elapsed 14.71
Generation 11, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 15.25
Generation 12, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 14.42
Generation 13, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 14.54
Generation 14, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 15.70
Generation 15, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 14.70
Generation 16, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 15.88
Generation 17, Fitness: 5595.00, Best Genome: \w[^u]\w\w(.), Time Elapsed 15.87
Generation 18, Fitness: 5595.00, Best Genome: \w[^5]\w\w(.), Time Elapsed 14.54
Generation 19, Fitness: 5595.00, Best Genome: \w[^5]\w\w(.), Time Elapsed 14.34
Generation 20, Fitness: 5595.00, Best Genome: \w(.)\w\w(.), Time Elapsed 14.86
Generation 21, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 15.77
Generation 22, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 15.70
Generation 23, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 16.35
Generation 24, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 17.00
Generation 25, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 16.47
Generation 26, Fitness: 5418.00, Best Genome: \w[^ ]\w\w(.), Time Elapsed 16.90
Generation 27, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 16.28
Generation 28, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 17.34
Generation 29, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 17.48
Generation 30, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 18.01
Generation 31, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 18.94
Generation 32, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 17.72
Generation 33, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 18.66
Generation 34, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 18.80
Generation 35, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 19.22
Generation 36, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 19.29
Generation 37, Fitness: 5365.00, Best Genome: \w\w\w\w\w, Time Elapsed 19.14
Generation 38, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 20.33
Generation 39, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 20.73
Generation 40, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 19.83
Generation 41, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 19.17
Generation 42, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 19.19
Generation 43, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 20.15
Generation 44, Fitness: 5336.00, Best Genome: \w\w\w\w.., Time Elapsed 18.98
Generation 45, Fitness: 5332.00, Best Genome: \w\w\w+\w, Time Elapsed 18.70
Generation 46, Fitness: 5332.00, Best Genome: \w\w\w+\w, Time Elapsed 19.90
Generation 47, Fitness: 5332.00, Best Genome: \w\w\w+\w, Time Elapsed 19.50
Generation 48, Fitness: 5332.00, Best Genome: \w\w\w+\w, Time Elapsed 19.39
Generation 49, Fitness: 5332.00, Best Genome: \w\w\w+\w, Time Elapsed 20.05
------------------------- 
Mean Num Genes: 4 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5840.00, Best Genome: [A-Z](\w), Time Elapsed 6.73
