------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 21, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 4.94
Generation 22, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.01
Generation 23, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.49
Generation 24, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 6.07
Generation 25, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.39
Generation 26, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 6.52
Generation 27, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 6.31
Generation 28, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 6.05
Generation 29, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 6.71
Generation 30, Fitness: 4868.00, Best Genome: \w+\w\w, Time Elapsed 5.58
Generation 31, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.69
Generation 32, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 6.12
Generation 33, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.49
Generation 34, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 7.01
Generation 35, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.76
Generation 36, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 6.31
Generation 37, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.83
Generation 38, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.68
Generation 39, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.59
Generation 40, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 7.38
Generation 41, Fitness: 4163.00, Best Genome: \w\w+\w\w, Time Elapsed 5.97
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 8 
 -------------------------
