------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 18, Fitness: 5395.00, Best Genome: \w..\w.\w\w, Time Elapsed 8.99
Generation 19, Fitness: 5395.00, Best Genome: \w..\w.\w\w, Time Elapsed 9.16
Generation 20, Fitness: 5395.00, Best Genome: \w..\w ., Time Elapsed 9.62
Generation 21, Fitness: 5395.00, Best Genome: \w..\w ., Time Elapsed 9.60
Generation 22, Fitness: 5395.00, Best Genome: \w..\w ., Time Elapsed 9.25
Generation 23, Fitness: 5386.00, Best Genome: \w..\w.\w.., Time Elapsed 9.43
Generation 24, Fitness: 5322.00, Best Genome: \w[^k]\w.\w.., Time Elapsed 9.75
Generation 25, Fitness: 5322.00, Best Genome: \w[^k]\w.\w.., Time Elapsed 10.08
Generation 26, Fitness: 5238.00, Best Genome: \w \w\w.\w.., Time Elapsed 9.68
Generation 27, Fitness: 5238.00, Best Genome: \w \w\w.\w.., Time Elapsed 9.57
Generation 28, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 9.64
Generation 29, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 9.83
Generation 30, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.05
Generation 31, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 9.95
Generation 32, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.36
Generation 33, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.22
Generation 34, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.44
Generation 35, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 11.06
Generation 36, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.77
Generation 37, Fitness: 5218.00, Best Genome: \w\w\w.\w.., Time Elapsed 10.73
Generation 38, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.18
Generation 39, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.84
Generation 40, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.07
Generation 41, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.15
Generation 42, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 11.86
Generation 43, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.00
Generation 44, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.01
Generation 45, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.08
Generation 46, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 13.11
Generation 47, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.80
Generation 48, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.64
Generation 49, Fitness: 5112.00, Best Genome: \w\w\w\w.., Time Elapsed 12.47
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 6050.00, Best Genome: [^2].[8VA-Z\da-z0-9|\wa-z[#], Time Elapsed 1.59
Generation 1, Fitness: 6050.00, Best Genome: [^2].[8VA-Z\da-z0-9|\wa-z[#], Time Elapsed 1.72
Generation 2, Fitness: 6050.00, Best Genome: [^2].[8VA-Z\da-z0-9|\wa-z[#], Time Elapsed 1.84
Generation 3, Fitness: 5666.00, Best Genome: .\w\w , Time Elapsed 2.24
Generation 4, Fitness: 5441.00, Best Genome: \w ...., Time Elapsed 2.91
Generation 5, Fitness: 5441.00, Best Genome: \w ...., Time Elapsed 3.52
Generation 6, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 4.44
Generation 7, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 5.41
Generation 8, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 5.97
Generation 9, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 7.12
Generation 10, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 7.95
Generation 11, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 8.60
Generation 12, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 8.87
Generation 13, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 9.76
Generation 14, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 10.26
Generation 15, Fitness: 5408.00, Best Genome: \w ..\w., Time Elapsed 9.98
Generation 16, Fitness: 5407.00, Best Genome: \w .\w\w., Time Elapsed 10.13
Generation 17, Fitness: 5392.00, Best Genome: \w ..\w\w, Time Elapsed 11.43
Generation 18, Fitness: 5247.00, Best Genome: \w\w\w\w., Time Elapsed 11.39
Generation 19, Fitness: 5247.00, Best Genome: \w\w\w\w., Time Elapsed 11.41
